term_rank,n,p,i,n_chars,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,term_rank2,zipf_k,zipf_k2,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,dfidf,dp,dh
30,523,0.0037228438825773753,8.069379166606923,4,VB,1,have,have,hav,30,15690,0.11168531647732126,413,2.2392604372175278,0.008396307805650588,16.372800221018647,0.0,0.5598151093043819,924.8145605708389,0.2117948717948718,0.47426387721581487
31,488,0.0034737051906266908,8.169308965290979,3,PRP,1,him,him,him,31,15128,0.10768486090942742,373,2.3862265883817355,0.007077558570438266,13.80123921235462,0.0,0.15908177255878236,890.0625174663874,0.19128205128205128,0.4564423166494294
32,487,0.0034665869422852423,8.172268340771522,3,RB,1,not,not,not,32,15584,0.11093078215312775,384,2.344295907915817,0.008397422344222917,16.37497357123469,0.0,0.5860739769789542,900.2096286396737,0.19692307692307692,0.4616459634049609
33,485,0.003452350445602346,8.178205365779375,2,DT,1,an,an,an,33,16005,0.11392756470487742,408,2.2568330666654774,0.007071397981521851,13.78922606396761,0.0,0.3224047238093539,920.7878911995148,0.20923076923076922,0.4721989185638537
34,484,0.003445232197260898,8.181183065579269,3,WP,1,who,who,who,34,16456,0.11713789470687053,423,2.2047445555170233,0.006843431218478511,13.344690876033097,0.0,0.20043132322882032,932.6069469837008,0.2169230769230769,0.47825997281215427
35,445,0.0031676205119444208,8.302384777000103,4,VBD,0,said,said,said,35,15575,0.11086671791805473,336,2.536940985858213,0.007801926553667549,15.213756779651721,0.0,0.5073881971716426,852.4121712483595,0.1723076923076923,0.4371344467940305
36,432,0.003075083283505595,8.345158800690395,5,EX,1,there,there,ther,36,15552,0.11070299820620141,376,2.3746695569593355,0.0070600788139210495,13.767153687146047,0.0,0.47493391139186714,892.8757534167102,0.19282051282051282,0.45788500175215907
37,418,0.002975427806725321,8.392687170772982,5,IN,1,after,after,aft,37,15466,0.11009082884883689,360,2.4374053123072983,0.006410443919548462,12.500365643119501,0.0,0.13541140623929435,877.4659124306274,0.18461538461538463,0.44998251919519355
38,415,0.0029540730617009766,8.403078776619576,5,PRP$,1,their,their,their,38,15770,0.11225477634463711,336,2.536940985858213,0.006810644756910213,13.280757275974915,0.0,0.20295527886865702,852.4121712483595,0.1723076923076923,0.4371344467940305
39,390,0.002776116853164773,8.492715989104253,2,RB,1,so,so,so,39,15210,0.10826855727342616,329,2.5673146349017313,0.0065911856480316885,12.852812013661792,0.0,0.42788577248362186,844.6465148826696,0.1687179487179487,0.43315205891418956
40,364,0.0025910423962871216,8.592251662655167,3,CD,0,one,one,on,40,14560,0.10364169585148486,321,2.60282892151467,0.006901207956705443,13.457355515575614,0.0,0.6507072303786675,835.5080838062091,0.1646153846153846,0.42846568400318413
41,358,0.0025483329062384328,8.616230525589607,5,MD,0,could,could,could,41,14678,0.10448164915577575,313,2.639239561704355,0.006470299365103397,12.617083761951625,0.0,0.527847912340871,826.0819828134631,0.1605128205128205,0.4236317860581862
42,323,0.002299194214287748,8.76465594815994,3,RP,1,out,out,out,42,13566,0.09656615700008542,287,2.764351481961285,0.006048063349459784,11.79372353144658,0.0,0.2764351481961285,793.3688753228888,0.14717948717948717,0.4068558334989174
43,322,0.0022920759659463,8.769129424739248,4,DT,1,thi,this,thi,43,13846,0.0985592665356909,287,2.764351481961285,0.006850751522486983,13.358965468849616,0.0,0.6910878704903213,793.3688753228888,0.14717948717948717,0.4068558334989174
44,321,0.0022849577176048516,8.773616815731561,5,JJ,0,first,first,first,44,14124,0.10053813957461347,297,2.714939287836207,0.005633361696988192,10.985055309126974,0.0,0.15082996043534483,806.3369684873535,0.1523076923076923,0.41350613768582234
45,317,0.0022564847242390594,8.791707272714458,4,RBR,1,more,more,mor,45,14265,0.10154181259075767,274,2.8312263256764463,0.005947132448580397,11.596908274731774,0.0,0.5662452651352893,775.7560132353462,0.14051282051282052,0.39782359653094684
46,309,0.0021995387375074744,8.828583274949489,2,IN,1,if,if,if,46,14214,0.10117878192534382,280,2.7999753916920067,0.007040177450848457,13.728346029154492,0.0,1.3999876958460034,783.9931096737619,0.14358974358974358,0.40204774855064707
47,301,0.002142592750775889,8.866426626094162,4,NNP,0,matt,matt,mat,47,14147,0.10070185928646679,214,3.187791422235826,0.008749294723532558,17.06112471088849,0.0,1.593895711117913,682.1873643584668,0.10974358974358975,0.349839674029983
48,300,0.002135474502434441,8.871227612357984,6,NNP,0,busbi,busbi,busby,48,14400,0.10250277611685316,281,2.794832088416047,0.005604780787992365,10.929322536585111,0.0,0.2466028313308277,785.3478168449092,0.1441025641025641,0.40274247017687653
49,298,0.0021212380057515448,8.880877782391703,3,DT,1,all,all,al,49,14602,0.10394066228182569,262,2.8958354070995225,0.007689485044255994,14.994495836299189,0.0,0.9652784690331742,758.7088766600749,0.13435897435897437,0.38908147521029485
50,298,0.0021212380057515448,8.880877782391703,3,NNP,0,old,old,old,49,14900,0.10394066228182569,264,2.8848642892785197,0.006311020919614561,12.306490793248395,0.0,0.9616214297595065,761.6041723695292,0.13538461538461538,0.3905662422407842
51,298,0.0021212380057515448,8.880877782391703,3,PRP,1,you,you,you,49,15198,0.10394066228182569,201,3.2782067174580445,0.013260218273413804,25.857425633156918,0.0,1.0927355724860148,658.919550209067,0.10307692307692308,0.33790746164567537
52,287,0.002042937273995615,8.935139376178176,4,NN,0,time,time,tim,50,14924,0.10214686369978075,256,2.929258408636973,0.005350982407714226,10.434415695042741,0.0,0.13948849564937965,749.8901526110651,0.13128205128205128,0.38455905262105905
53,287,0.002042937273995615,8.935139376178176,7,NNS,0,player,player,play,50,15211,0.10214686369978075,252,2.9519784851370567,0.005289349965500456,10.31423243272589,0.0,0.15536728869142402,743.8985782545383,0.12923076923076923,0.38148645038694273
54,284,0.002021582528971271,8.950299183349182,4,RB,1,onli,onli,on,51,15336,0.10310070897753482,266,2.8739759731357832,0.006440863857348259,12.559684521829105,0.0,1.4369879865678916,764.4776088541183,0.13641025641025642,0.3920397994123684
55,279,0.00198599128726403,8.975924991024677,5,WDT,1,which,which,which,52,15345,0.10327154693772957,258,2.918031153213719,0.005183282901840341,10.107401658588666,0.0,0.26527555938306535,752.8520375291396,0.13230769230769232,0.3860779679636613
56,270,0.0019219270521909969,9.023230705803034,10,NNP,0,manchest,manchest,manchest,53,15120,0.10186213376612284,237,3.040515159738714,0.008765253232865072,17.09224380408689,0.0,3.040515159738714,720.6020928580751,0.12153846153846154,0.3695395347990129
57,262,0.0018649810654594117,9.066623301316413,4,RB,0,back,back,back,54,14934,0.10070897753480823,236,3.046615359275132,0.005214873791343113,10.16900389311907,0.0,0.761653839818783,719.0012247889312,0.12102564102564102,0.36871857681483644
58,257,0.0018293898237521711,9.094421753659987,4,NN,0,team,team,team,55,14906,0.10061644030636942,227,3.102709921346058,0.00641322644798234,12.505791573565563,0.0,0.6205419842692117,704.3151521455552,0.11641025641025642,0.36118725751054115
59,252,0.0017937985820449304,9.122766379353948,2,CC,1,or,or,or,56,14868,0.1004527205945161,218,3.1610740838600466,0.005776157553163776,11.263507228669363,0.0,1.053691361286682,689.1141502814902,0.1117948717948718,0.3533918719392257
60,249,0.001772443837020586,9.140044370785784,4,NN,0,club,club,club,57,14940,0.1010292987101734,220,3.1478986951123136,0.005339885965258247,10.412777632253583,0.0,0.7869746737780784,692.537712924709,0.11282051282051282,0.35514754508959434
61,249,0.001772443837020586,9.140044370785784,2,RP,1,up,up,up,57,15189,0.1010292987101734,231,3.0775093672209155,0.005188349897267025,10.117282299670698,0.0,0.7693773418052289,710.9046638280315,0.11846153846153847,0.3645664942707854
62,248,0.0017653255886791379,9.145849992466989,3,NNP,0,cup,cup,cup,58,15376,0.10238888414339,215,3.181065559047513,0.005541529146422177,10.805981835523246,0.0,0.7952663897618782,683.9290951952153,0.11025641025641025,0.3507328693308796
63,245,0.0017439708436547934,9.163408363851294,5,IN,1,about,about,about,59,15435,0.10289427977563281,216,3.174370906473505,0.005650841764076521,11.019141439949216,0.0,1.0581236354911683,685.6641157982771,0.11076923076923077,0.35162262348629586
64,242,0.001722616098630449,9.181183065579269,6,IN,1,befor,befor,bef,60,15488,0.10335696591782695,226,3.1090794462217857,0.005176622759528422,10.094414381080423,0.0,0.5181799077036309,702.6519548461235,0.1158974358974359,0.3603343358185249
65,236,0.0016799066085817602,9.217403253492023,2,DT,1,no,no,no,61,15340,0.10247430312348738,219,3.1544713490357994,0.007489851710045131,14.605210834588005,0.0,3.1544713490357994,690.82922543884,0.1123076923076923,0.3542713976609437
66,233,0.0016585518635574158,9.235860158199584,8,NNP,0,trafford,trafford,trafford,62,15378,0.10283021554055978,214,3.187791422235826,0.004652558951611353,9.072489955642139,0.0,0.14489961010162847,682.1873643584668,0.10974358974358975,0.349839674029983
67,231,0.0016443153668745196,9.248297261437807,4,RB,0,even,even,ev,63,15477,0.10359186811309473,210,3.2150128909708506,0.005051610407289207,9.850640294213955,0.0,0.8037532227427127,675.1527071038786,0.1076923076923077,0.3462321574891685
68,230,0.0016371971185330713,9.25455625190949,8,NN,0,footbal,footbal,footbal,64,15640,0.10478061558611657,201,3.2782067174580445,0.005808138721345552,11.325870506623826,0.0,0.655641343491609,658.919550209067,0.10307692307692308,0.33790746164567537
69,230,0.0016371971185330713,9.25455625190949,2,PRP,1,me,me,me,64,15870,0.10478061558611657,159,3.616375453352618,0.00526819659995252,10.272983369907415,0.0,0.5166250647646596,575.0036970830662,0.08153846153846153,0.2948736908118288
70,228,0.0016229606218501752,9.267156288689122,3,RB,1,now,now,now,65,15960,0.10549244042026139,217,3.167707176192494,0.004914667034094436,9.583600716484149,0.0,0.39596339702406175,687.3924572337712,0.11128205128205128,0.35250895242757496
71,227,0.001615842373508727,9.27349781556295,4,IN,1,than,than,than,66,16117,0.10664559665157598,205,3.249778309131527,0.004349828733743014,8.482166030798878,0.0,0.16248891545657637,666.204553371963,0.10512820512820513,0.3416433607035708
72,226,0.0016087241251672788,9.279867340438676,4,VBD,0,went,went,went,67,16272,0.10778451638620769,205,3.249778309131527,0.004477434991488629,8.730998233402826,0.0,0.13540742954714696,666.204553371963,0.10512820512820513,0.3416433607035708
73,225,0.0016016058768258308,9.286265111636828,4,IN,1,over,over,ov,68,16425,0.10890919962415649,206,3.2427578814537545,0.005699406042611575,11.113841783092571,0.0,1.0809192938179182,668.0081235794735,0.10564102564102563,0.34256826850229405
74,220,0.00156601463511859,9.318686589329205,4,IN,1,into,into,into,69,16280,0.10805500982318271,199,3.2926337880933243,0.004714164699435247,9.192621163898732,0.0,0.41157922351166554,655.2341238305715,0.10205128205128206,0.33601749940029313
75,216,0.0015375416417527975,9.345158800690395,4,PRP,1,them,them,them,70,16200,0.10762791492269583,190,3.3594028003060252,0.00552438444864749,10.772549674862606,0.0,0.3732669778117806,638.2865320581448,0.09743589743589744,0.3273264266964845
76,209,0.0014877139033626606,9.392687170772982,4,RB,1,then,then,then,71,15884,0.1056276871387489,189,3.3670159844159007,0.004748991165797463,9.260532773305052,0.0,0.5611693307359834,636.3660210546052,0.09692307692307692,0.3263415492587719
77,206,0.0014663591583383162,9.413545775670645,4,NN,0,home,home,hom,72,15862,0.10557785940035877,192,3.344295907915817,0.004343309801535962,8.469454112995125,0.0,0.15554864687980544,642.1048143198368,0.09846153846153846,0.3292845201640189
78,204,0.0014521226616554198,9.427620960882368,3,VBD,1,did,did,did,73,15912,0.10600495430084565,186,3.3900995975289416,0.004561705578094416,8.895325877284112,0.0,0.5650165995881569,630.5585251403832,0.09538461538461539,0.3233633462258375
79,203,0.0014450044133139718,9.434710385668689,2,PRP,1,we,we,we,74,16037,0.10693032658523391,125,3.963474123974886,0.0050011211623653285,9.75218626661239,0.0,0.5429416608184775,495.43426549686075,0.0641025641025641,0.2540688541009542
80,203,0.0014450044133139718,9.434710385668689,5,RB,0,never,never,nev,74,16240,0.10693032658523391,174,3.4863149127882447,0.005115630526062597,9.975479525822063,0.0,0.5810524854647074,606.6187948251546,0.08923076923076922,0.3110865614487972
81,201,0.0014307679166310754,9.448994611674935,2,PRP$,1,my,my,my,75,16281,0.10730759374733065,138,3.820733951858804,0.005337082046557468,10.407309990787063,0.0,0.955183487964701,527.2612853565149,0.07076923076923076,0.2703904027469307
82,196,0.0013951766749238348,9.485336458738656,3,CD,0,two,two,two,76,16072,0.10603342729421145,178,3.4535249776705754,0.0056318685435896125,10.982143659999744,0.0,1.7267624888352877,614.7274460253624,0.09128205128205129,0.31524484411557047
83,194,0.0013809401782409385,9.500133460666737,5,NN,0,match,match,match,77,16102,0.10633239372455226,172,3.502993653934875,0.0043525726069894525,8.487516583629432,0.0,0.140119746157395,602.5149084767985,0.0882051282051282,0.3089820043470761
84,192,0.0013667036815580421,9.515083802132708,3,VBD,0,got,got,got,78,16128,0.10660288716152728,172,3.502993653934875,0.003983697808863732,7.768210727284277,0.0,0.233532910262325,602.5149084767985,0.0882051282051282,0.3089820043470761
85,191,0.001359585433216594,9.522617474818116,7,NNP,0,edward,edward,edward,79,16235,0.10740724922411093,143,3.7693870718585836,0.004818771509345323,9.39660444322338,0.0,0.3141155893215486,539.0223512757774,0.07333333333333333,0.2764217186029628
86,190,0.001352467184875146,9.530190694522917,4,WP,1,what,what,what,80,16340,0.10819737479001168,166,3.5542189772900485,0.00696302719492291,13.577903030099675,0.0,1.1847396590966828,590.0003502301481,0.08512820512820513,0.3025642821693067
87,187,0.0013311124398508016,9.553151842966228,7,IN,1,becaus,becaus,becaus,81,16269,0.10782010762791493,175,3.478047296804644,0.004326640727596056,8.43694941881231,0.0,0.3365852222714172,608.6582769408127,0.08974358974358974,0.3121324497132373
88,187,0.0013311124398508016,9.553151842966228,5,IN,1,while,while,whil,81,16456,0.10782010762791493,180,3.4374053123072983,0.0042719406215212105,8.33028421196636,0.0,0.14945240488292602,618.7329562153137,0.09230769230769231,0.3172989519052891
89,183,0.0013026394464850089,9.584346464569823,4,RB,1,just,just,just,82,16287,0.10681643461177073,171,3.5114058937510753,0.00592684718987016,11.557352020246812,0.0,1.7557029468755376,600.4504078314338,0.0876923076923077,0.307923286067402
90,182,0.0012955211981435608,9.592251662655167,4,VBD,0,made,made,mad,83,16380,0.10752825944591554,170,3.5198674724992713,0.004620946538628829,9.010845750326217,0.0,0.8799668681248178,598.3774703248762,0.08717948717948718,0.30686024119224414
91,181,0.0012884029498021127,9.60020041577066,6,NNP,0,leagu,leagu,leagu,84,16471,0.10822584778337747,159,3.616375453352618,0.004507645648573715,8.789909014718743,0.0,0.16072779792678302,575.0036970830662,0.08153846153846153,0.2948736908118288
92,176,0.001252811708094872,9.640614684216567,6,NN,0,season,season,season,85,16192,0.10648899518806412,163,3.5805302544058955,0.004496835157220136,8.768828556579264,0.0,0.22378314090036847,583.626431468161,0.0835897435897436,0.2992956058811082
93,164,0.0011673927279974943,9.742494298235782,4,NNP,0,best,best,best,86,15252,0.10039577460778451,141,3.7897070562381794,0.004467412246440556,8.711453880559084,0.0,0.6316178427063632,534.3486949295833,0.07230769230769231,0.27402497175876067
94,164,0.0011673927279974943,9.742494298235782,4,VBD,0,came,came,cam,86,15416,0.10039577460778451,156,3.643856189774725,0.003744689050979639,7.302143649410296,0.0,0.26027544212676607,568.441565604857,0.08,0.29150849518197797
95,162,0.0011531562313145981,9.76019629996924,6,NNP,0,murphi,murphi,murph,87,15390,0.10032459212437003,122,3.998521071074087,0.005135838840055531,10.014885738108287,0.0,0.7997042142148174,487.8195706710386,0.06256410256410257,0.25016388239540444
96,162,0.0011531562313145981,9.76019629996924,4,NNP,0,citi,citi,city,87,15552,0.10032459212437003,140,3.7999753916920067,0.00469563502844256,9.156488305462991,0.0,0.9499938479230017,531.9965548368809,0.07179487179487179,0.27281874607019535
97,160,0.0011389197346317018,9.778118207966502,4,IN,0,like,like,lik,88,15520,0.10022493664758976,151,3.690853669311894,0.005602371224426391,10.924623887631462,0.0,1.230284556437298,557.318904066096,0.07743589743589743,0.2858045661877415
98,157,0.0011175649896073574,9.805425553962237,4,VBD,0,took,took,took,89,15386,0.09946328407505481,147,3.7295860638006086,0.0035909878137543876,7.002426236821056,0.0,0.13813281717780032,548.2491513786895,0.07538461538461538,0.2811534109634305
99,155,0.0011033284929244612,9.823921897579627,7,IN,1,against,against,against,90,15345,0.0992995643632015,142,3.779511289132291,0.0038444116725500216,7.496602761472542,0.0,0.1542657669033588,536.6906030567853,0.07282051282051281,0.2752259502855309
100,152,0.0010819737479001168,9.852118789410278,3,RP,1,off,off,off,91,15200,0.09845961105891063,145,3.7493493186220386,0.0036963150864071565,7.207814418493955,0.0,0.41659436873578204,543.6556512001956,0.07435897435897436,0.27879776984625415
101,151,0.0010748554995586685,9.861641563528785,5,WRB,1,where,where,wher,92,15251,0.0988867059593975,141,3.7897070562381794,0.0035962994381607966,7.012783904413554,0.0,0.15158828224952717,534.3486949295833,0.07230769230769231,0.27402497175876067
102,149,0.0010606190028757724,9.880877782391703,5,JJ,1,other,other,oth,93,15198,0.09863756726744684,143,3.7693870718585836,0.003426791461992975,6.682243350886301,0.0,0.12564623572861944,539.0223512757774,0.07333333333333333,0.2764217186029628
103,148,0.001053500754534324,9.890592937224914,5,MD,0,might,might,might,94,15244,0.09902907092622647,136,3.8417955673866335,0.003924261452367996,7.652309832117592,0.0,0.21343308707703518,522.4841971645822,0.06974358974358974,0.26794061393055496
104,148,0.001053500754534324,9.890592937224914,5,NNS,0,year,year,year,94,15392,0.09902907092622647,135,3.852442811586142,0.004774818491869949,9.310896059146401,0.0,1.2841476038620474,520.0797795641292,0.06923076923076923,0.26670757926365596
105,145,0.0010321460095099799,9.92013721283893,5,RB,0,later,later,lat,95,15225,0.0980538709034481,136,3.8417955673866335,0.0036280084394221808,7.074616456873253,0.0,0.34925414248969394,522.4841971645822,0.06974358974358974,0.26794061393055496
106,145,0.0010321460095099799,9.92013721283893,5,NNP,0,jimmi,jimmi,jimmy,95,15370,0.0980538709034481,124,3.9750620982500977,0.0037480609036127347,7.308718762044832,0.0,0.23382718225000573,492.90770018301214,0.06358974358974359,0.25277317958103185
107,144,0.0010250277611685316,9.930121301411551,4,JJ,0,next,next,next,96,15408,0.09840266507217904,138,3.820733951858804,0.0057442632037751256,11.201313247361496,0.0,1.910366975929402,527.2612853565149,0.07076923076923076,0.2703904027469307
108,142,0.0010107912644856355,9.950299183349182,4,JJ,1,such,such,such,97,15336,0.09804675265510664,136,3.8417955673866335,0.004280235105109343,8.34645845496322,0.0,0.6402992612311056,522.4841971645822,0.06974358974358974,0.26794061393055496
109,141,0.0010036730161441872,9.960494950455072,2,VB,0,go,go,go,98,15369,0.09835995558213034,125,3.963474123974886,0.005438005682071082,10.60411108003861,0.0,1.321158041324962,495.43426549686075,0.0641025641025641,0.2540688541009542
110,140,0.0009965547678027391,9.970763285908898,3,NN,0,day,day,day,99,15400,0.09865892201247117,133,3.8739759731357832,0.0033074800987037685,6.449586192472348,0.0,0.2152208873964324,515.2388044270592,0.06820512820512821,0.2642250279113124
111,139,0.000989436519461291,9.981105230130357,3,WRB,1,how,how,how,100,15429,0.0989436519461291,130,3.9068905956085187,0.004014533371575316,7.828340074571868,0.0,0.7813781191217037,507.89577742910745,0.06666666666666667,0.26045937304056793
112,139,0.000989436519461291,9.981105230130357,4,VBD,0,left,left,left,100,15568,0.0989436519461291,133,3.8739759731357832,0.003365255771488404,6.562248754402388,0.0,0.12496696687534785,515.2388044270592,0.06820512820512821,0.2642250279113124
113,139,0.000989436519461291,9.981105230130357,4,RB,0,well,well,wel,100,15707,0.0989436519461291,126,3.9519784851370567,0.005587182519925576,10.895005913854874,0.0,0.9879946212842642,497.94928912726914,0.06461538461538462,0.255358609808856
114,137,0.0009752000227783947,10.002014219893338,6,JJ,0,second,second,second,101,15618,0.09849520230061787,130,3.9068905956085187,0.0035376216519790084,6.898362221359067,0.0,0.27906361397203705,507.89577742910745,0.06666666666666667,0.26045937304056793
115,136,0.0009680817744369465,10.012583461603525,4,RB,0,also,also,also,102,15640,0.09874434099256854,133,3.8739759731357832,0.003703593837945366,7.222007983993464,0.0,0.24212349832098645,515.2388044270592,0.06820512820512821,0.2642250279113124
116,134,0.0009538452777540503,10.033957112396092,8,IN,0,although,although,although,103,15544,0.09824606360866718,130,3.9068905956085187,0.0031677108926896403,6.1770362407447985,0.0,0.11490854692966232,507.89577742910745,0.06666666666666667,0.26045937304056793
